id,Response_Address,Response_X,Response_Y,,
1,臺北市中正區建國里1鄰衡陽路32號,121.512629,25.042206,,
2,臺北市中正區文盛里6鄰汀州路三段121號,121.530298,25.016545,,
3,臺北市中正區河堤里2鄰汀州路二段198號,121.52329,25.022726,,
4,臺北市中正區文祥里9鄰信義路二段79巷15之8號,121.526975,25.035454,,
5,臺北市中正區黎明里10鄰漢口街一段22號,121.514232,25.045074,,
6,臺北市中正區建國里5鄰衡陽路78號,121.511093,25.042159,,
7,臺北市中正區光復里9鄰永綏街6號,121.51118,25.042998,,
8,臺北市中正區黎明里6鄰懷寧街22號,121.514105,25.045614,,
9,臺北市中正區龍福里18鄰南昌路一段86號,121.517374,25.030859,,
10,臺北市信義區景新里3鄰莊敬路236號,121.562088,25.029598,,
11,新北市土城區瑞興里17鄰廣明街63巷4號,121.454584,24.993557,,
12,臺北市中正區龍興里15鄰寧波西街161號,121.510947,25.027356,,
13,找不到指定的門牌地址。,,,,
14,臺北市中正區頂東里13鄰同安街53之2號,121.52195,25.024324,,
15,臺北市中正區建國里1鄰衡陽路20號,121.512984,25.042211,,
16,臺北市中正區新營里1鄰羅斯福路一段15號,121.518219,25.033161,,
17,臺北市中正區幸福里9鄰齊東街80號,121.52735,25.041674,,
18,臺北市中正區三愛里19鄰連雲街85號,121.530158,25.034151,,
19,臺北市中正區廈安里5鄰中華路二段145號,121.504511,25.031748,,
20,臺北市中正區東門里6鄰丹陽街29號,121.52398,25.039535,,
21,臺北市中正區黎明里9鄰衡陽路4號,121.513871,25.042235,,
22,臺北市中正區幸市里15鄰新生南路一段106號,121.532552,25.03969,,
23,臺北市中正區幸市里6鄰濟南路二段45之1號,121.53054,25.040599,,
24,臺北市中正區愛國里13鄰中華路二段43號,121.506373,25.035082,,
25,臺北市中正區幸福里9鄰齊東街88號,121.527151,25.041624,,
26,臺北市中正區黎明里11鄰襄陽路19號,121.515392,25.043493,,
27,臺北市中正區水源里3鄰羅斯福路四段90巷2之1號,121.534736,25.013853,,
28,臺北市中正區文盛里6鄰汀州路三段117號,121.530123,25.016668,,
29,臺北市中正區文盛里6鄰汀州路三段105號,121.529754,25.016926,,
30,臺北市中正區頂東里18鄰金門街8號,121.524332,25.022751,,
31,找不到指定的門牌地址。,,,,
32,找不到指定的門牌地址。,,,,
33,找不到指定的門牌地址。,,,,
34,臺北市中正區龍興里7鄰三元街158號,121.510872,25.028001,,
35,臺北市中正區永昌里4鄰汀州路一段242巷5號,121.510192,25.027186,,
36,臺北市中正區龍興里17鄰汀州路一段53號,121.507648,25.030257,,
37,臺北市中正區忠勤里31鄰汀州路一段92巷8號,121.507233,25.0303,,
38,臺北市中正區忠勤里30鄰汀州路一段92巷28號,121.506762,25.029994,,
39,臺北市中正區忠勤里12鄰中華路二段309巷21號,121.506208,25.029095,,
40,臺北市中正區幸市里6鄰濟南路二段47之1號,121.530777,25.040611,,
41,臺北市中正區光復里14鄰中華路一段21巷10號,121.510386,25.046464,,
42,臺北市中正區南福里13鄰南昌路一段143號,121.518592,25.029532,,
43,找不到指定的門牌地址。,,,,
44,臺北市中正區永功里15鄰汀州路一段207號,121.511622,25.026916,,
45,臺北市中正區文盛里6鄰汀州路三段113號,121.53003,25.016733,,
46,臺北市中正區永功里17鄰汀州路一段384號,121.51355,25.026236,,
47,臺北市中正區永昌里10鄰中華路二段453號,121.50961,25.024901,,
48,臺北市中正區河堤里5鄰汀州路二段232號,121.524263,25.021895,,
49,臺北市中正區黎明里11鄰襄陽路13之5號,121.515531,25.04349,,
50,新北市中和區景福里35鄰興南路一段88號,121.509914,24.989249,,
51,臺北市大安區古莊里5鄰羅斯福路二段83號,121.523691,25.025723,,
52,臺北市中正區南福里21鄰南昌路一段136號,121.518499,25.029025,,
53,臺北市中正區文北里27鄰濟南路二段22號,121.528648,25.040859,,
54,臺北市中正區新營里25鄰金華街47號,121.520235,25.031913,,
55,臺北市中正區忠勤里23鄰中華路二段331號,121.506641,25.027435,,
56,找不到指定的門牌地址。,,,,
57,臺北市大同區雙連里31鄰重慶北路二段171號,121.513828,25.059022,,
58,臺北市萬華區仁德里10鄰桂林路1號,121.506304,25.037675,,
59,臺北市士林區蘭興里5鄰德行西路7號,121.524191,25.106301,,
60,新北市汐止區文化里21鄰新臺五路一段108號,121.64864,25.060552,,
61,新北市新店區寶興里1鄰中興路三段1號,121.546235,24.975878,,
62,新北市三重區碧華里14鄰五華街282號,121.48648,25.087995,,
63,宜蘭縣宜蘭市南門里1鄰民權路二段38巷2號,121.749943,24.75411,,
64,桃園市中壢區仁義里12鄰中華路二段501號,121.232045,24.962493,,
65,桃園市中壢區後寮里21鄰中山東路二段510號,121.244103,24.947819,,
66,桃園市中壢區中原里8鄰中華路一段432號;桃園市中壢區復華里3鄰中華路一段480號,121.254298;121.253490,24.971348;24.970996,,
67,桃園市桃園區汴洲里21鄰春日路1501號;桃園市桃園區汴洲里21鄰春日路1595號,121.306785;121.306318,25.023595;25.024698,,
